Iteration,Time,Bug Count,Steps,Strands
0,13,0,5,62
1,23,25,5,62
2,28,50,5,62
3,32,75,5,62
4,38,100,5,62
5,47,125,5,62
6,57,150,5,62
7,66,175,5,62
8,75,200,5,62
9,84,225,5,62
10,91,250,5,62
11,100,275,5,62
12,114,300,5,62
13,119,325,5,62
14,127,350,5,62
15,139,375,5,62
16,149,400,5,62
17,152,425,5,62
18,165,450,5,62
19,173,475,5,62
20,182,500,5,62
21,191,525,5,62
22,201,550,5,62
23,208,575,5,62
24,215,600,5,62
25,224,625,5,62
26,257,650,5,62
27,244,675,5,62
28,260,700,5,62
29,262,725,5,62
30,274,750,5,62
31,300,775,5,62
32,321,800,5,62
33,310,825,5,62
34,317,850,5,62
35,317,875,5,62
36,337,900,5,62
37,346,925,5,62
38,355,950,5,62
39,354,975,5,62
40,381,1000,5,62
41,400,1025,5,62
42,388,1050,5,62
43,417,1075,5,62
44,446,1100,5,62
45,423,1125,5,62
46,451,1150,5,62
47,444,1175,5,62
48,463,1200,5,62
49,470,1225,5,62
