Iteration,Time,Webgen Time,Steps,Strands
0,173,89,5,515
1,106,51,5,399
2,125,62,5,433
3,609,313,5,987
4,131,64,5,447
5,45,20,5,255
6,79,37,5,343
7,121,58,5,427
8,284,142,5,663
9,232,117,5,599
10,107,51,5,401
11,653,335,5,1021
12,848,435,5,1163
13,213,106,5,575
14,465,238,5,861
15,167,82,5,507
16,175,86,5,519
17,76,36,5,335
18,360,183,5,755
19,267,134,5,647
20,242,122,5,611
21,200,99,5,555
22,80,37,5,343
23,84,39,5,351
24,77,36,5,335
25,182,90,5,527
26,407,206,5,799
27,442,226,5,835
28,990,521,5,1243
29,101,48,5,383
30,342,174,5,727
31,154,75,5,479
32,71,33,5,321
33,878,453,5,1171
34,388,197,5,775
35,299,149,5,679
36,367,190,5,759
37,1271,662,5,1417
38,143,70,5,463
39,306,155,5,689
40,50,23,5,267
41,516,265,5,903
42,440,226,5,835
43,218,108,5,575
44,259,132,5,633
45,1208,633,5,1383
46,136,66,5,455
47,305,154,5,695
48,156,76,5,487
49,1007,508,5,1259
50,403,202,5,795
51,90,43,5,367
52,395,202,5,791
53,214,108,5,575
54,66,31,5,311
55,68,31,5,315
56,109,53,5,405
57,150,72,5,475
58,222,109,5,583
59,239,119,5,607
60,34,15,5,215
61,354,181,5,751
62,290,147,5,677
63,120,58,5,427
64,590,304,5,975
65,540,277,5,931
66,174,86,5,519
67,526,263,5,907
68,119,58,5,423
69,507,258,5,895
70,503,259,5,899
71,275,138,5,655
72,572,290,5,951
73,192,93,5,539
74,66,31,5,307
75,295,148,5,671
76,366,189,5,755
77,179,89,5,527
78,346,174,5,735
79,643,331,5,1011
80,262,134,5,639
81,127,62,5,439
82,264,135,5,643
83,536,269,5,915
84,962,489,5,1231
85,222,111,5,579
86,580,301,5,959
87,629,321,5,997
88,369,187,5,763
89,219,109,5,583
90,53,24,5,277
91,278,141,5,663
92,278,141,5,663
93,312,159,5,703
94,326,166,5,719
95,57,26,5,287
96,348,177,5,743
97,276,140,5,659
98,180,89,5,527
99,108,52,5,403
